HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176	geneID
0	0	0	0	0	0	0	0	0	0	ENSG00000228107.1_6
0	0	0	0	0	0	0	0	0	0	ENSG00000228120.2_5
0	0	0	0	0	0	0	0	0	0	ENSG00000228137.1_6
106	111	131	180	94	84	141	117	109	76	ENSG00000228149.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000228159.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000228184.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000228235.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000228314.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000228318.3_5
0	0	0	0	0	0	0	0	0	0	ENSG00000228349.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000228355.1_5
5	33	7	17	11	9	11	10	7	4	ENSG00000228404.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000228433.2_3
0	0	0	0	0	0	0	0	0	0	ENSG00000228592.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000228600.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000228677.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000228708.1_3
0	0	0	0	0	0	0	0	0	0	ENSG00000228709.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000228817.4_5
0	0	0	0	0	0	0	0	0	0	ENSG00000228861.5_4
0	0	0	0	0	0	0	0	0	0	ENSG00000228930.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000228941.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000228961.1_5
